w_id,file_name,line_no,word_no,word,pos_contributor_1,pos_contributor_2,pos_contributor_3,fpos,fner
44,File-01,4,10,প্রতিযোগিতায়,PSP,Unk,Unk,PSP,O
45,File-01,4,11,বিজয়ী,JJ,Unk,JJ,JJ,O
46,File-01,4,12,হওয়ার,NN,Unk,Unk,NN,O
47,File-01,4,13,মাধ্যমে,NN,PSP,PSP,NN,O
48,File-01,4,14,শোবিজে,NN,Unk,NN,NN,PER
49,File-01,4,15,পদার্পণ,VM,Unk,VM,VM,O
50,File-01,4,16,করেন,NN,VM,VM,NN,O
51,File-01,4,17,নিলয়,NN,Unk,Unk,NN,PER
52,File-01,4,18,আলমগীর,NN,Unk,NN,NN,PER
53,File-01,4,19,।,PU,Unk,PU,PU,O
54,File-01,5,1,মাসুদ,NN,Unk,NN,NN,PER
55,File-01,5,2,কায়নাত,NN,Unk,Unk,NN,PER
56,File-01,5,3,পরিচালিত,JJ,Unk,Unk,JJ,O
57,File-01,5,4,‘,PU,SYM,PU,PU,O
58,File-01,5,5,বেইলী,NN,Unk,NN,NN,O
59,File-01,5,6,রোড,NN,Unk,Unk,NN,O
60,File-01,5,7,’,PU,Unk,PU,PU,O
61,File-01,5,8,চলচ্চিত্রে,NN,Unk,NN,NN,O
62,File-01,5,9,অভিনয়ের,NN,Unk,NN,NN,O
63,File-01,5,10,মাধ্যমে,PSP,PSP,PSP,PSP,O
64,File-01,5,11,তিনি,PRP,PRP,PRP,PRP,PER
65,File-01,5,12,চলচ্চিত্রে,NN,Unk,NN,NN,O
66,File-01,5,13,আত্মপ্রকাশ,NN,Unk,Unk,NN,O
67,File-01,5,14,করেন,VM,VM,VM,VM,O
68,File-01,5,15,।,PU,Unk,PU,PU,O
69,File-01,6,1,‘,PU,SYM,PU,PU,O
70,File-01,6,2,বলিউড,NN,Unk,NN,NN,ORG
71,File-01,6,3,ফেস্টিভ্যাল,NN,Unk,NN,NN,O
72,File-01,6,4,নরওয়ে,NN,Unk,Unk,NN,O
73,File-01,6,5,2021,CD,Unk,Unk,CD,O
74,File-01,6,6,’,PU,Unk,PU,PU,O
75,File-01,6,7,-,PU,SYM,PU,PU,O
76,File-01,6,8,এ,PU,DEM,DEM,PU,O
77,File-01,6,9,প্রদর্শনের,NN,Unk,NN,NN,O
78,File-01,6,10,জন্য,PRP,PSP,PRP,PRP,O
79,File-01,6,11,আমন্ত্রণ,NN,Unk,NN,NN,O
80,File-01,6,12,পেয়েছে,VM,VM,VM,VM,O
81,File-01,6,13,অনন্ত,NN,Unk,NN,NN,PER
82,File-01,6,14,ও,CC,CC,CC,CC,O
83,File-01,6,15,বর্ষা,NN,Unk,NN,NN,PER
84,File-01,6,16,অভিনীত,JJ,Unk,Unk,JJ,O
85,File-01,6,17,নতুন,JJ,JJ,JJ,JJ,O
86,File-01,6,18,ছবি,NN,NN,NN,NN,O
87,File-01,6,19,‘,PU,SYM,SYM,PU,O
88,File-01,6,20,দিন,NN,NN,NN,NN,O
89,File-01,6,21,:,PU,SYM,SYM,PU,O
90,File-01,6,22,দ্য,PU,Unk,PU,PU,O
91,File-01,6,23,ডে,PU,Unk,Unk,PU,O
92,File-01,6,24,’,PU,Unk,Unk,PU,O
93,File-01,6,25,।,PU,Unk,PU,PU,O
94,File-01,7,1,এ,PU,DEM,PU,PU,O
95,File-01,7,2,উৎসবে,NN,Unk,NN,NN,O
96,File-01,7,3,ছবির,NN,Unk,Unk,NN,O
97,File-01,7,4,প্রিমিয়ার,NN,Unk,NN,NN,O
98,File-01,7,5,অনুষ্ঠিত,NN,Unk,NN,NN,O
99,File-01,7,6,হবে,JJ,VM,VM,JJ,O
100,File-01,7,7,বলে,VM,UT,UT,VM,O
101,File-01,7,8,জানিয়েছেন,VM,VM,VM,VM,O
102,File-01,7,9,অনন্ত,NN,Unk,Unk,NN,PER
103,File-01,7,10,জলিল,NN,Unk,NN,NN,PER
104,File-01,7,11,।,PU,Unk,Unk,PU,O
105,File-01,8,1,উৎসব,NN,Unk,Unk,NN,O
106,File-01,8,2,কর্তৃপক্ষ,NN,Unk,Unk,NN,O
107,File-01,8,3,সম্প্রতি,RB,Unk,RB,RB,O
108,File-01,8,4,আনুষ্ঠানিকভাবে,JJ,Unk,JJ,JJ,O
109,File-01,8,5,ছবির,NN,Unk,NN,NN,O
110,File-01,8,6,কেন্দ্রীয়,JJ,Unk,Unk,JJ,O
111,File-01,8,7,চরিত্রের,NN,Unk,NN,NN,O
112,File-01,8,8,অভিনেতা,NN,Unk,NN,NN,O
113,File-01,8,9,-,PU,SYM,PU,PU,O
114,File-01,8,10,অভিনেত্রী,NN,Unk,NN,NN,O
115,File-01,8,11,অনন্ত,PU,Unk,PU,PU,PER
116,File-01,8,12,-,NN,SYM,SYM,NN,O
117,File-01,8,13,বর্ষাসহ,CC,Unk,CC,CC,PER
118,File-01,8,14,প্রযোজক,NN,Unk,Unk,NN,O
119,File-01,8,15,ও,CC,CC,CC,CC,O
120,File-01,8,16,পরিচালককে,NN,Unk,Unk,NN,O
121,File-01,8,17,আয়োজনে,NN,Unk,NN,NN,O
122,File-01,8,18,অংশ,NN,NN,NN,NN,O
123,File-01,8,19,নেওয়ার,NN,Unk,NN,NN,O
124,File-01,8,20,জন্য,NN,PSP,PSP,NN,O
125,File-01,8,21,আমন্ত্রণ,NN,Unk,NN,NN,O
126,File-01,8,22,জানিয়েছে,PU,Unk,Unk,PU,O
127,File-01,8,23,।,PU,Unk,PU,PU,O
128,File-01,9,1,বলিউড,NN,Unk,Unk,NN,O
129,File-01,9,2,ফেস্টিভ্যাল,NN,Unk,NN,NN,ORG
130,File-01,9,3,মূলত,RB,Unk,Unk,RB,O
131,File-01,9,4,ভারতের,JJ,NNP,NNP,JJ,O
132,File-01,9,5,বলিউডের,JJ,Unk,Unk,JJ,LOC
133,File-01,9,6,ছবি,NN,NN,NN,NN,ORG
134,File-01,9,7,নিয়ে,VM,VM,VM,VM,O
135,File-01,9,8,অনুষ্ঠিত,JJ,Unk,JJ,JJ,O
136,File-01,9,9,হলেও,RB,VM,VM,RB,O
137,File-01,9,10,সম্প্রতি,RB,Unk,RB,RB,O
138,File-01,9,11,এশিয়ার,JJ,Unk,Unk,JJ,CONTINENT
139,File-01,9,12,অন্যান্য,JJ,JJ,JJ,JJ,O
140,File-01,9,13,দেশের,NN,Unk,NN,NN,O
141,File-01,9,14,ছবি,NN,NN,NN,NN,LOC
142,File-01,9,15,প্রদর্শনের,RB,Unk,Unk,RB,O
143,File-01,9,16,জন্যও,JJ,Unk,JJ,JJ,O
144,File-01,9,17,নতুন,JJ,JJ,JJ,JJ,O
145,File-01,9,18,একটি,NN,QC,QC,NN,O
146,File-01,9,19,উইং,VM,Unk,VM,VM,O
147,File-01,9,20,খুলেছে,NN,Unk,NN,NN,O
148,File-01,9,21,কর্তৃপক্ষ,NN,Unk,Unk,NN,O
149,File-01,9,22,।,PU,Unk,Unk,PU,O
150,File-01,10,1,ইরানের,JJ,Unk,Unk,JJ,LOC
151,File-01,10,2,সঙ্গে,NN,PSP,NN,NN,O
152,File-01,10,3,যৌথ,JJ,Unk,Unk,JJ,O
153,File-01,10,4,প্রযোজনায়,NN,Unk,NN,NN,O
154,File-01,10,5,নির্মিত,JJ,Unk,Unk,JJ,O
155,File-01,10,6,এ,PU,DEM,PU,PU,O
156,File-01,10,7,ছবিটি,NN,NN,NN,NN,O
157,File-01,10,8,পরিচালনা,NN,Unk,Unk,NN,O
158,File-01,10,9,করেছেন,VM,VM,VM,VM,O
159,File-01,10,10,ইরানি,JJ,Unk,Unk,JJ,O
160,File-01,10,11,নির্মাতা,NN,Unk,NN,NN,O
161,File-01,10,12,মরতুজা,NN,Unk,NN,NN,O
162,File-01,10,13,অতাশ,NN,Unk,NN,NN,O
163,File-01,10,14,জমজম,NN,Unk,NN,NN,O
164,File-01,10,15,।,PU,Unk,Unk,PU,O
165,File-01,11,1,বিভিন্ন,JJ,JJ,JJ,JJ,O
166,File-01,11,2,দেশ,NN,XC,NN,NN,O
167,File-01,11,3,ও,CC,CC,CC,CC,O
168,File-01,11,4,ভাষাভাষী,NN,Unk,NN,NN,O
169,File-01,11,5,মানুষের,JJ,NN,JJ,JJ,O
170,File-01,11,6,মধ্যে,NN,NST,NST,NN,O
171,File-01,11,7,এশিয়ান,NN,Unk,NN,NN,CONTINENT
172,File-01,11,8,চলচ্চিত্রের,NN,Unk,NN,NN,O
173,File-01,11,9,পরিচয়,NN,NN,NN,NN,O
174,File-01,11,10,করিয়ে,VM,VM,VM,VM,O
175,File-01,11,11,দেওয়ার,VM,Unk,VM,VM,O
176,File-01,11,12,লক্ষ্যে,NN,Unk,Unk,NN,O
177,File-01,11,13,উৎসবটি,NN,Unk,Unk,NN,O
178,File-01,11,14,প্রতি,NN,PSP,PSP,NN,O
179,File-01,11,15,বছর,NN,NN,NN,NN,TIME
180,File-01,11,16,অনুষ্ঠিত,VM,Unk,VM,VM,O
181,File-01,11,17,হয়,NN,VM,NN,NN,O
182,File-01,11,18,।,PU,Unk,PU,PU,O
183,File-01,12,1,এ,DT,DEM,DT,DT,O
184,File-01,12,2,উৎসবে,NN,Unk,Unk,NN,O
185,File-01,12,3,নিজের,NN,PRP,PRP,NN,O
186,File-01,12,4,ছবি,NN,NN,NN,NN,O
187,File-01,12,5,প্রদর্শন,NN,Unk,Unk,NN,O
188,File-01,12,6,ও,CC,CC,CC,CC,O
189,File-01,12,7,যোগ,NN,Unk,Unk,NN,O
190,File-01,12,8,দেওয়া,VM,VAUX,VM,VM,O
191,File-01,12,9,প্রসঙ্গে,NN,NN,NN,NN,O
192,File-01,12,10,অনন্ত,NN,Unk,Unk,NN,O
193,File-01,12,11,জলিল,VM,Unk,Unk,VM,PER
194,File-01,12,12,বলেন,NN,VM,VM,NN,O
195,File-01,12,13,",",PU,SYM,SYM,PU,O
196,File-01,12,14,‘,PU,SYM,PU,PU,O
197,File-01,12,15,নিঃসন্দেহে,RB,Unk,RB,RB,O
198,File-01,12,16,আমাদের,PRP,PRP,PRP,PRP,O
199,File-01,12,17,ফিল্ম,NN,Unk,NN,NN,O
200,File-01,12,18,ইন্ডাস্ট্রি,NN,Unk,NN,NN,O
201,File-01,12,19,তথা,CC,Unk,Unk,CC,O
202,File-01,12,20,বাংলাদেশের,NN,Unk,Unk,NN,LOC
203,File-01,12,21,জন্য,JJ,PSP,JJ,JJ,O
204,File-01,12,22,গৌরবের,NN,Unk,NN,NN,O
205,File-01,12,23,বিষয়,NN,Unk,NN,NN,O
206,File-01,12,24,।,PU,Unk,Unk,PU,O
207,File-01,13,1,বিশ্বের,NN,Unk,Unk,NN,O
208,File-01,13,2,বিভিন্ন,JJ,JJ,JJ,JJ,O
209,File-01,13,3,দেশের,NN,Unk,NN,NN,O
210,File-01,13,4,বড়,JJ,JJ,JJ,JJ,O
211,File-01,13,5,বড়,JJ,JJ,JJ,JJ,O
212,File-01,13,6,উৎসবে,NN,Unk,Unk,NN,O
213,File-01,13,7,বাংলাদেশি,JJ,Unk,Unk,JJ,LOC
214,File-01,13,8,ছবি,NN,NN,NN,NN,O
215,File-01,13,9,প্রদর্শিত,VM,Unk,VM,VM,O
216,File-01,13,10,হচ্ছে,VM,VM,VM,VM,O
217,File-01,13,11,",",PU,SYM,SYM,PU,O
218,File-01,13,12,পুরস্কারের,NN,Unk,NN,NN,O
219,File-01,13,13,জন্য,JJ,PSP,PSP,JJ,O
220,File-01,13,14,নির্বাচিত,JJ,Unk,Unk,JJ,O
221,File-01,13,15,হচ্ছে,VM,VM,VM,VM,O
222,File-01,13,16,",",PU,SYM,PU,PU,O
223,File-01,13,17,এটি,DT,DEM,DT,DT,O
224,File-01,13,18,অবশ্যই,RB,RB,RB,RB,O
225,File-01,13,19,আমাদের,PRP,PRP,PRP,PRP,O
226,File-01,13,20,জন্য,JJ,PSP,JJ,JJ,O
227,File-01,13,21,আনন্দের,CC,NN,CC,CC,O
228,File-01,13,22,এবং,NN,CC,NN,NN,O
229,File-01,13,23,গর্বের,CC,Unk,CC,CC,O
230,File-01,13,24,।,PU,Unk,Unk,PU,O
231,File-01,14,1,নরওয়ের,JJ,Unk,JJ,JJ,O
232,File-01,14,2,এ,RP,DEM,DEM,RP,O
233,File-01,14,3,উৎসবটিতে,NN,Unk,Unk,NN,O
234,File-01,14,4,বলিউডের,NN,Unk,NN,NN,O
235,File-01,14,5,ছবির,NN,Unk,Unk,NN,O
236,File-01,14,6,পাশাপাশি,NN,Unk,Unk,NN,O
237,File-01,14,7,আমাদের,PRP,PRP,PRP,PRP,O
238,File-01,14,8,অর্থাৎ,CC,Unk,Unk,CC,O
239,File-01,14,9,বাংলাদেশের,NN,Unk,NN,NN,LOC
240,File-01,14,10,ছবিও,NN,Unk,Unk,NN,O
241,File-01,14,11,প্রদর্শিত,VM,Unk,VM,VM,O
242,File-01,14,12,হবে,VM,VM,VM,VM,O
243,File-01,14,13,",",PU,SYM,PU,PU,O
244,File-01,14,14,এটি,PRP,DEM,DEM,PRP,O
245,File-01,14,15,অনেক,JJ,QF,JJ,JJ,O
246,File-01,14,16,বড়,JJ,JJ,JJ,JJ,O
247,File-01,14,17,পাওয়া,NN,VM,NN,NN,O
248,File-01,14,18,।,PU,Unk,Unk,PU,O
249,File-01,15,1,আমাদের,PRP,PRP,PRP,PRP,O
250,File-01,15,2,ছবি,NN,NN,NN,NN,O
251,File-01,15,3,সেখানে,RB,PRP,RB,RB,O
252,File-01,15,4,প্রদর্শিত,VM,Unk,Unk,VM,O
253,File-01,15,5,হবে,VM,VAUX,VM,VM,O
254,File-01,15,6,",",PU,SYM,SYM,PU,O
255,File-01,15,7,আমরাও,PRP,Unk,PRP,PRP,O
256,File-01,15,8,সশরীরে,RB,Unk,Unk,RB,O
257,File-01,15,9,উপস্থিত,JJ,JJ,JJ,JJ,O
258,File-01,15,10,থাকার,VM,Unk,Unk,VM,O
259,File-01,15,11,চেষ্টা,NN,NN,NN,NN,O
260,File-01,15,12,করব,VM,Unk,VM,VM,O
261,File-01,15,13,।,PU,Unk,PU,PU,O
262,File-01,15,14,’,PU,Unk,Unk,PU,O
263,File-01,16,1,বর্ষা,NN,Unk,Unk,NN,PER
264,File-01,16,2,বলেন,VM,VM,VM,VM,O
265,File-01,16,3,",",PU,SYM,SYM,PU,O
266,File-01,16,4,‘,PU,SYM,SYM,PU,O
267,File-01,16,5,বাংলাদেশের,JJ,Unk,JJ,JJ,LOC
268,File-01,16,6,ছবি,NN,NN,NN,NN,O
269,File-01,16,7,একটি,CD,QC,CD,CD,O
270,File-01,16,8,বিশ্বে,NN,Unk,Unk,NN,O
271,File-01,16,9,মাথা,NN,NN,NN,NN,O
272,File-01,16,10,তুলে,VM,VM,VM,VM,O
273,File-01,16,11,দাঁড়াবে,VM,Unk,Unk,VM,O
274,File-01,16,12,",",PU,SYM,PU,PU,O
275,File-01,16,13,এটা,PRP,PRP,PRP,PRP,O
276,File-01,16,14,অনন্ত,JJ,Unk,JJ,JJ,PER
277,File-01,16,15,বেশ,RB,INTF,INTF,RB,O
278,File-01,16,16,আগেই,RB,NST,RB,RB,O
279,File-01,16,17,বলেছিল,VM,Unk,VM,VM,O
280,File-01,16,18,।,PU,Unk,PU,PU,O
281,File-01,17,1,কান,NN,Unk,NN,NN,O
282,File-01,17,2,উৎসবের,JJ,Unk,Unk,JJ,O
283,File-01,17,3,প্রতিযোগিতা,NN,Unk,NN,NN,O
284,File-01,17,4,বিভাগে,NN,Unk,NN,NN,O
285,File-01,17,5,বাংলাদেশের,JJ,Unk,Unk,JJ,LOC
286,File-01,17,6,ছবি,NN,NN,NN,NN,O
287,File-01,17,7,প্রদর্শিত,VM,Unk,Unk,VM,O
288,File-01,17,8,হয়েছে,VM,VAUX,VM,VM,O
289,File-01,17,9,",",PU,SYM,SYM,PU,O
290,File-01,17,10,নরওয়ের,JJ,Unk,JJ,JJ,O
291,File-01,17,11,বলিউড,NN,Unk,Unk,NN,O
292,File-01,17,12,উৎসবে,NN,Unk,Unk,NN,O
293,File-01,17,13,আমাদের,PRP,PRP,PRP,PRP,O
294,File-01,17,14,ছবি,NN,NN,NN,NN,O
295,File-01,17,15,প্রদর্শিত,VM,Unk,Unk,VM,O
296,File-01,17,16,হবে,VM,VM,VM,VM,O
297,File-01,17,17,",",PU,SYM,PU,PU,O
298,File-01,17,18,এটি,PRP,DEM,PRP,PRP,O
299,File-01,17,19,তো,RB,RP,RP,RB,O
300,File-01,17,20,দেশের,JJ,Unk,Unk,JJ,O
301,File-01,17,21,সিনেমাশিল্পের,NN,Unk,NN,NN,O
302,File-01,17,22,জন্য,PRP,PSP,PSP,PRP,O
303,File-01,17,23,অবশ্যই,RB,RB,RB,RB,O
304,File-01,17,24,আনন্দের,NN,NN,NN,NN,O
305,File-01,17,25,।,PU,Unk,PU,PU,O
306,File-01,18,1,কিন্তু,CC,CC,CC,CC,O
307,File-01,18,2,করোনারভাইরাসের,NN,Unk,NN,NN,O
308,File-01,18,3,কারণে,PRP,NN,PRP,PRP,O
309,File-01,18,4,পাকিস্তানের,JJ,Unk,JJ,JJ,LOC
310,File-01,18,5,সঙ্গে,PRP,PSP,PRP,PRP,O
311,File-01,18,6,বাংলাদেশের,JJ,Unk,Unk,JJ,LOC
312,File-01,18,7,বিমান,NN,Unk,NN,NN,O
313,File-01,18,8,যোগাযোগ,NN,Unk,Unk,NN,O
314,File-01,18,9,বন্ধ,VM,JJ,JJ,VM,O
315,File-01,18,10,হয়ে,VM,VM,VM,VM,O
316,File-01,18,11,যাওয়ায়,VM,Unk,VM,VM,O
317,File-01,18,12,আপাতত,RB,RB,RB,RB,O
318,File-01,18,13,দেশে,NN,NN,NN,NN,O
319,File-01,18,14,ফিরতে,VM,Unk,Unk,VM,O
320,File-01,18,15,পারছেন,VM,Unk,Unk,VM,O
321,File-01,18,16,না,RP,NEG,NEG,RP,O
322,File-01,18,17,তিনি,PRP,PRP,PRP,PRP,O
323,File-01,18,18,।,PU,Unk,Unk,PU,O
324,File-01,19,1,পাকিস্তান,NNP,Unk,NNP,NNP,LOC
325,File-01,19,2,আমল,NN,Unk,Unk,NN,PER
326,File-01,19,3,থেকে,PRP,PSP,PSP,PRP,O
327,File-01,19,4,শুরু,NN,NN,NN,NN,O
328,File-01,19,5,করে,VM,VM,VM,VM,O
329,File-01,19,6,দেশ,NN,XC,XC,NN,O
330,File-01,19,7,স্বাধীনের,NN,Unk,NN,NN,O
331,File-01,19,8,পরও,RB,Unk,RB,RB,O
332,File-01,19,9,দীর্ঘসময়,JJ,Unk,Unk,JJ,O
333,File-01,19,10,তিনি,PRP,PRP,PRP,PRP,PER
334,File-01,19,11,দাপটের,NN,Unk,Unk,NN,O
335,File-01,19,12,সঙ্গে,PRP,NST,PRP,PRP,O
336,File-01,19,13,বাংলা,NN,XC,XC,NN,O
337,File-01,19,14,সিনেমায়,NN,Unk,Unk,NN,O
338,File-01,19,15,অভিনয়,NN,Unk,Unk,NN,O
339,File-01,19,16,করে,VM,VM,VM,VM,O
340,File-01,19,17,খ্যাতি,NN,Unk,NN,NN,O
341,File-01,19,18,অর্জন,NN,Unk,NN,NN,O
342,File-01,19,19,করেন,VM,VM,VM,VM,O
343,File-01,19,20,।,PU,Unk,PU,PU,O
344,File-01,20,1,এ,DT,DEM,DEM,DT,O
345,File-01,20,2,বিষয়ে,PRP,NN,NN,PRP,O
346,File-01,20,3,শবনম,NNP,Unk,NNP,NNP,PER
347,File-01,20,4,গণমাধ্যমকে,NN,Unk,Unk,NN,O
348,File-01,20,5,বলেন,VM,VM,VM,VM,O
349,File-01,20,6,",",PU,SYM,PU,PU,O
350,File-01,20,7,এবার,RB,PRP,PRP,RB,O
351,File-01,20,8,লম্বা,JJ,Unk,JJ,JJ,O
352,File-01,20,9,সময়,NN,NN,NN,NN,TIME
353,File-01,20,10,লাহোরে,NNP,Unk,NNP,NNP,O
354,File-01,20,11,থাকার,VM,Unk,VM,VM,O
355,File-01,20,12,কারণে,PRP,NN,NN,PRP,O
356,File-01,20,13,অনেকের,JJ,PRP,PRP,JJ,O
357,File-01,20,14,সঙ্গেই,PRP,Unk,PRP,PRP,O
358,File-01,20,15,দেখা,NN,VM,VM,NN,O
359,File-01,20,16,হয়েছে,VM,VAUX,VM,VM,O
360,File-01,20,17,।,PU,Unk,PU,PU,O
361,File-01,21,1,70,CD,Unk,CD,CD,O
362,File-01,21,2,দশকের,NN,Unk,Unk,NN,O
363,File-01,21,3,শুরুতে,PRP,Unk,PRP,PRP,TIME
364,File-01,21,4,শবনম,NNP,Unk,Unk,NNP,PER
365,File-01,21,5,পাকিস্তানের,NNP,Unk,NNP,NNP,LOC
366,File-01,21,6,অন্যতম,JJ,Unk,Unk,JJ,O
367,File-01,21,7,জনপ্রিয়,JJ,Unk,Unk,JJ,O
368,File-01,21,8,নায়িকা,NN,Unk,NN,NN,O
369,File-01,21,9,হিসেবে,PRP,PSP,PSP,PRP,O
370,File-01,21,10,নিজের,PRP,PRP,PRP,PRP,O
371,File-01,21,11,স্থান,NN,NN,NN,NN,O
372,File-01,21,12,শক্ত,JJ,Unk,Unk,JJ,O
373,File-01,21,13,করে,VM,VM,VM,VM,O
374,File-01,21,14,তোলেন,VM,VM,VM,VM,O
375,File-01,21,15,।,PU,Unk,PU,PU,O
376,File-01,22,1,1988,CD,Unk,Unk,CD,O
377,File-01,22,2,সালের,NN,NNP,NN,NN,TIME
378,File-01,22,3,দিকে,PRP,NST,NST,PRP,O
379,File-01,22,4,শবনম,NNP,Unk,Unk,NNP,PER
380,File-01,22,5,বাংলাদেশ,NNP,Unk,NNP,NNP,LOC
381,File-01,22,6,ও,CC,CC,CC,CC,O
382,File-01,22,7,পাকিস্তানের,NNP,Unk,NNP,NNP,LOC
383,File-01,22,8,চলচ্চিত্রে,CC,Unk,CC,CC,O
384,File-01,22,9,সমানতালে,JJ,Unk,JJ,JJ,O
385,File-01,22,10,অভিনয়,NN,Unk,Unk,NN,O
386,File-01,22,11,করতে,VM,VM,VM,VM,O
387,File-01,22,12,থাকেন,VM,VAUX,VM,VM,O
388,File-01,22,13,।,PU,Unk,PU,PU,O
389,File-01,23,1,ধর্ষণ,NN,Unk,NN,NN,O
390,File-01,23,2,ও,CC,CC,CC,CC,O
391,File-01,23,3,হত্যাচেষ্টার,NN,Unk,NN,NN,O
392,File-01,23,4,অভিযোগ,NN,Unk,Unk,NN,O
393,File-01,23,5,করে,VM,VM,VM,VM,O
394,File-01,23,6,মামলা,NN,Unk,Unk,NN,O
395,File-01,23,7,করেছেন,VM,VM,VM,VM,O
396,File-01,23,8,ব্যবসায়ী,NN,Unk,Unk,NN,O
397,File-01,23,9,নাসির,NNP,Unk,Unk,NNP,PER
398,File-01,23,10,ও,CC,CC,CC,CC,O
399,File-01,23,11,ব্যক্তিগত,JJ,Unk,Unk,JJ,O
400,File-01,23,12,সহকারী,JJ,Unk,Unk,JJ,O
401,File-01,23,13,অমিসহ,JJ,Unk,Unk,JJ,O
402,File-01,23,14,কয়েকজনের,JJ,Unk,Unk,JJ,O
403,File-01,23,15,বিরুদ্ধে,PRP,Unk,Unk,PRP,O
404,File-01,23,16,।,PU,Unk,PU,PU,O
405,File-01,24,1,সব,JJ,QF,JJ,JJ,O
406,File-01,24,2,মিলিয়ে,RB,Unk,RB,RB,O
407,File-01,24,3,সময়টা,NN,Unk,NN,NN,TIME
408,File-01,24,4,মোটেও,RB,Unk,RB,RB,O
409,File-01,24,5,ভালো,JJ,JJ,JJ,JJ,O
410,File-01,24,6,যাচ্ছে,VM,VAUX,VM,VM,O
411,File-01,24,7,না,NEG,NEG,NEG,NEG,O
412,File-01,24,8,বাংলা,NNP,XC,NNP,NNP,O
413,File-01,24,9,সিনেমার,NN,Unk,NN,NN,O
414,File-01,24,10,এই,DT,DEM,DEM,DT,O
415,File-01,24,11,জনপ্রিয়,JJ,Unk,Unk,JJ,O
416,File-01,24,12,নায়িকার,NN,Unk,NN,NN,O
417,File-01,24,13,।,PU,Unk,PU,PU,O
418,File-01,25,1,প্রতি,JJ,PSP,PSP,JJ,O
419,File-01,25,2,বছর,NN,NN,NN,NN,TIME
420,File-01,25,3,কোরবানির,NN,Unk,NN,NN,O
421,File-01,25,4,ঈদে,NN,Unk,Unk,NN,TIME
422,File-01,25,5,অসহায়,JJ,Unk,JJ,JJ,O
423,File-01,25,6,সহশিল্পীদের,NN,Unk,NN,NN,O
424,File-01,25,7,জন্য,PRP,PSP,PRP,PRP,O
425,File-01,25,8,বাংলাদেশ,NNP,Unk,Unk,NNP,LOC
426,File-01,25,9,চলচ্চিত্র,NN,Unk,NN,NN,O
427,File-01,25,10,উন্নয়ন,NN,Unk,Unk,NN,O
428,File-01,25,11,করপোরেশনে,NN,Unk,Unk,NN,ORG
429,File-01,25,12,(,PU,SYM,SYM,PU,O
430,File-01,25,13,বিএফডিসি,NN,Unk,Unk,NN,ORG
431,File-01,25,14,),PU,SYM,SYM,PU,O
432,File-01,25,15,কোরবানি,NN,Unk,Unk,NN,O
433,File-01,25,16,দিয়ে,VM,VM,VM,VM,O
